dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
bank-marketing,stratified,2,0.9106491208669689,0.20364309879831474,0.7588153168961549,0.7329397156530498,0.5243632705839456,0.6273457090470752,0.9316596690628577,,2
bank-marketing,coreset,2,0.9099856242397435,0.1995874241642109,0.7549322493224933,0.7276443425941599,0.5176679374328237,0.6305897046968483,0.9317729485696834,,2
bank-marketing,prototype,2,0.8989273471193188,0.21325658829300553,0.7550084346343111,0.7545903649683421,0.5100182742343381,0.5775565066724105,0.9222574699963187,,2
bank-marketing,stratified_coreset,2,0.8933982085591065,0.24014534523852638,0.5894170127498789,0.5669719215968505,0.28992548959861136,0.5918294821873886,0.922981772297538,,2
bank-marketing,random,3,0.9074422205020458,0.20197104955756243,0.7464274758099934,0.7188246392988744,0.5013518570296289,0.6262290797907264,0.9307380449874705,,2
bank-marketing,stratified,3,0.9094327103837222,0.20203030575356123,0.7509180130942794,0.7220016145584881,0.5110153794744401,0.6278518431457218,0.9320752639933333,,2
bank-marketing,coreset,3,0.9095432931549264,0.2040189272335259,0.7523031879641402,0.7241140938882332,0.5131723885590467,0.6257503420655086,0.9280470352610578,,2
bank-marketing,prototype,3,0.9040141545947141,0.20865088370637838,0.7736321300484383,0.7808391916317576,0.5476228598510456,0.5936447429973097,0.9272273272309967,,2
bank-marketing,stratified_coreset,3,0.8952781156695787,0.24478458551393617,0.5992993124371692,0.5733660585241941,0.3109820514659652,0.5806310763745511,0.9129436928645748,,2
bank-marketing,random,4,0.9054517306203693,0.20882492482163906,0.7532739187894866,0.7353263384914768,0.5096304820312131,0.6153044681030022,0.9304972816469445,,2
bank-marketing,stratified,4,0.90755280327325,0.20739751900818457,0.7590842435932539,0.7410257654652568,0.5211847125476068,0.6227031862600328,0.9286109470379834,,2
bank-marketing,coreset,4,0.910206789782152,0.20122790830167284,0.7621159309184277,0.7400687489420735,0.5288286537991479,0.6307231177735029,0.931000706665262,,2
bank-marketing,prototype,4,0.9020236647130377,0.21145299509431298,0.7689378654641892,0.7760223268344593,0.5382302061388419,0.60727027164708,0.9251803653589611,,2
bank-marketing,stratified_coreset,4,0.8950569501271702,0.24532814209895853,0.6024969330850929,0.5757006580154425,0.3110722173876456,0.5812396526861181,0.9158296569773429,,2
mozilla4,random,1,0.9456416854293985,0.1520904878282106,0.9370946529598991,0.9283039541209819,0.8758793780066401,0.9863003310254432,0.9767580877616258,,2
mozilla4,stratified,1,0.9456416854293985,0.15370512308648981,0.9369208041975883,0.9270556618785379,0.8759864208608863,0.9840431504413396,0.9737532783787813,,2
mozilla4,coreset,1,0.9472499195882921,0.1486398891701397,0.9382130254381883,0.9247583353102844,0.8804932654001003,0.9862024145044768,0.9763684799293361,,2
mozilla4,prototype,1,0.9475715664200708,0.15245797658387986,0.9390244357317454,0.9282434734827565,0.8806056989595389,0.9847967887878954,0.9745906304708019,,2
mozilla4,stratified_coreset,1,0.9446767449340624,0.14740326712215637,0.9357474827577921,0.925587951506718,0.8737841683432878,0.9863524339156455,0.9770595532684394,,2
mozilla4,random,2,0.9472499195882921,0.14560554399194092,0.9382485849431361,0.9250079937587732,0.8804296383263376,0.9858098484220561,0.9777154634457835,,2
mozilla4,stratified,2,0.949501447410743,0.1475101406407361,0.941036315033334,0.9286823097415086,0.8854396139323352,0.9854194162257528,0.9764219279352098,,2
mozilla4,coreset,2,0.9437118044387263,0.15398196616996943,0.933819498345533,0.9191270721651225,0.8726163678628154,0.9837547867466631,0.9744241915051428,,2
mozilla4,prototype,2,0.9466066259247347,0.1506788922695701,0.9374234304144337,0.9237798617290711,0.8790473544568005,0.9842677218347269,0.9753220242353888,,2
mozilla4,stratified_coreset,2,0.9449983917658411,0.14832912587297867,0.935741799612521,0.9233309453639481,0.8749523132044312,0.9858134280327933,0.9771519151733263,,2
mozilla4,random,3,0.9482148600836282,0.14590782506397643,0.9395340555437374,0.9272246794760595,0.882428891189254,0.986939047003136,0.9777871962957718,,2
mozilla4,stratified,3,0.9491798005789643,0.14442173145489431,0.940911396083775,0.9301903405388121,0.8843325618296184,0.986022332150698,0.9773497665634902,,2
mozilla4,coreset,3,0.946284979092956,0.1433647772402091,0.9372449154110585,0.9247885756293972,0.8779649844643954,0.9871212261321108,0.9784913972152651,,2
mozilla4,prototype,3,0.9485365069154069,0.1476146566259202,0.9399948274730663,0.9282132331636437,0.8830522312050627,0.9851054809822376,0.9760203646279222,,2
mozilla4,stratified_coreset,3,0.9469282727565134,0.13961094580204275,0.938515932569782,0.9292622674894534,0.8789004311225356,0.9884826412993583,0.9803437925767283,,2
mozilla4,random,4,0.9472499195882921,0.14671416669854775,0.93877004987972,0.928752870486105,0.8797385423881242,0.9861601096600912,0.9768898324076826,,2
mozilla4,stratified,4,0.9482148600836282,0.14596162967718349,0.9401052632208726,0.9314688731003689,0.8818222770899729,0.9864158223572015,0.977273345291934,,2
mozilla4,coreset,4,0.9482148600836282,0.14651145338956828,0.9394303623234441,0.9264757041305931,0.8826008346246299,0.9866485447580406,0.9775295675306178,,2
mozilla4,prototype,4,0.949501447410743,0.14383371780960647,0.9411365753059737,0.9294312850869749,0.8852817065948608,0.9868309107459111,0.9776235703830534,,2
mozilla4,stratified_coreset,4,0.9478932132518495,0.14245617874334973,0.9394830942253622,0.9292320271703407,0.8812659018177569,0.9871418410706027,0.978540156799571,,2
adult,random,1,0.8609888422561163,0.30479172010830513,0.7940641978528273,0.7742192240468598,0.5957692305082982,0.7933403715288209,0.9134879212104656,,2
adult,stratified,1,0.8648786979219981,0.30256715058966455,0.8029354925906651,0.7863032801690004,0.6107668153580676,0.7968300663262531,0.9154773099858304,,2
adult,coreset,1,0.8619101238611936,0.30337654937345576,0.7922059522900811,0.7689619031732947,0.5954919409703415,0.7964819059103819,0.9151007633501668,,2
adult,prototype,1,0.8623195823523391,0.30731889384751404,0.7974660397400356,0.7790513902698093,0.6012619279959073,0.7896625438069073,0.9121779798152125,,2
