dataset,strategy,budget_fraction,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
bank-marketing,random,0.25,3,0.9020236647130377,0.21543484436026386,0.7231239283796852,0.6927979327969622,0.4589991373315867,0.575850641719039,0.920009516899006,,2
bank-marketing,stratified,0.25,3,0.9043459029083268,0.21022379129582644,0.736416318395219,0.70887190419655,0.4819282588737572,0.5993695599487032,0.9235015322917615,,2
bank-marketing,random,0.25,4,0.9041247373659184,0.2141109146309984,0.7198728411196781,0.6845582987004224,0.45900840279510674,0.5942745268354432,0.921864483619452,,2
bank-marketing,stratified,0.25,4,0.9020236647130377,0.21585047234242033,0.7225662515599398,0.6919779880281198,0.4582190721239609,0.582198529369426,0.9184799476333817,,2
bank-marketing,random,0.5,1,0.9058940617051864,0.21545572896924037,0.7227147974105755,0.6855601772226516,0.46683332879999734,0.5901139833052226,0.920772525990959,,2
bank-marketing,stratified,0.5,1,0.9060046444763906,0.20792680854761936,0.7343739719218199,0.7024316623915589,0.48193441215044264,0.5956126352307202,0.9251944513164451,,2
bank-marketing,random,0.5,2,0.9082162999004755,0.20721351231878726,0.7347426551144548,0.6987643419312913,0.48716430255507015,0.6257866949800663,0.9289001234592744,,2
bank-marketing,stratified,0.5,2,0.9074422205020458,0.2101687050686893,0.7537667726456518,0.7315337832159307,0.5124680301279554,0.6002885933488217,0.9263207360682186,,2
bank-marketing,random,0.5,3,0.9047882339931439,0.20670765355352766,0.7252613987512734,0.6910835889125759,0.4673808963487718,0.6015597095416776,0.9275176873461938,,2
bank-marketing,stratified,0.5,3,0.908879796527701,0.20701738397584266,0.7528679715560262,0.7266081961333455,0.5129774330734285,0.6131085458373743,0.9289203646250709,,2
bank-marketing,random,0.5,4,0.9046776512219397,0.21313586708390242,0.7504618098078595,0.7320182099470534,0.504253627007204,0.6088651953681296,0.9266965588834452,,2
bank-marketing,stratified,0.5,4,0.9064469755612076,0.20894521852533934,0.7609467839463168,0.7473691219240235,0.5235082919650944,0.6132863967152938,0.926582214052104,,2
bank-marketing,random,1.0,1,0.9097644586973349,0.20568011300908248,0.7609440882135923,0.7389983345426739,0.5264707217137088,0.6196127864849447,0.9285499868018129,,2
bank-marketing,stratified,1.0,1,0.9067787238748203,0.2030438390528204,0.7446097516222514,0.7172190176997749,0.4976731973824585,0.6213664044878244,0.9308132687352113,,2
bank-marketing,random,1.0,2,0.9106491208669689,0.20256106504367877,0.7500074586401297,0.7177707374294666,0.5119750523868474,0.6385187048317185,0.9321888986083311,,2
bank-marketing,stratified,1.0,2,0.9106491208669689,0.20364309879831474,0.7588153168961549,0.7329397156530498,0.5243632705839456,0.6273457090470752,0.9316596690628577,,2
bank-marketing,random,1.0,3,0.9074422205020458,0.20197104955756243,0.7464274758099934,0.7188246392988744,0.5013518570296289,0.6262290797907264,0.9307380449874705,,2
bank-marketing,stratified,1.0,3,0.9094327103837222,0.20203030575356123,0.7509180130942794,0.7220016145584881,0.5110153794744401,0.6278518431457218,0.9320752639933333,,2
